/home/cliu7/utils/AdmixTools/bin/qp3Pop: parameter file: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.geno
snpname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.snp
indivname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.ind
popfilename: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.poptable.txt
inbreed: NO
outgroupmode: YES
## qp3Pop version: 435
packed geno read OK
end of inpack
nplist: 385
number of blocks for block jackknife: 710
snps: 498990
                      Source 1             Source 2               Target           f_3       std. err           Z    SNPs
 result:               Mongola           Chokhopani                Mbuti     69.898195       0.533172     131.099  431474
 result:               Mongola               Rhirhi                Mbuti     69.183418       0.543291     127.341  425824
 result:               Mongola               Lubrak                Mbuti     70.069232       0.598748     117.026  281487
 result:               Mongola             Samdzong                Mbuti     69.728358       0.512638     136.019  436032
 result:               Mongola               Mebrak                Mbuti     69.701110       0.531392     131.167  435778
 result:               Mongola                Kyang                Mbuti     69.783336       0.526025     132.662  435422
 result:               Mongola                Suila                Mbuti     69.304118       0.621037     111.594  278610
 result:                 Ulchi           Chokhopani                Mbuti     69.847901       0.533766     130.859  440518
 result:                 Ulchi               Rhirhi                Mbuti     69.459232       0.536794     129.397  434094
 result:                 Ulchi               Lubrak                Mbuti     69.911839       0.591542     118.186  287974
 result:                 Ulchi             Samdzong                Mbuti     69.684371       0.514757     135.373  442845
 result:                 Ulchi               Mebrak                Mbuti     69.750216       0.537484     129.772  442842
 result:                 Ulchi                Kyang                Mbuti     69.828654       0.531441     131.395  442374
 result:                 Ulchi                Suila                Mbuti     69.499100       0.624456     111.295  285125
 result:                   Ami           Chokhopani                Mbuti     69.629100       0.537531     129.535  431617
 result:                   Ami               Rhirhi                Mbuti     68.807604       0.539512     127.537  426049
 result:                   Ami               Lubrak                Mbuti     69.568895       0.608828     114.267  281677
 result:                   Ami             Samdzong                Mbuti     69.347508       0.524979     132.096  436246
 result:                   Ami               Mebrak                Mbuti     69.381786       0.538353     128.878  435969
 result:                   Ami                Kyang                Mbuti     69.358416       0.534808     129.688  435596
 result:                   Ami                Suila                Mbuti     68.859987       0.636800     108.134  278826
 result:                Atayal           Chokhopani                Mbuti     69.623435       0.560937     124.120  427905
 result:                Atayal               Rhirhi                Mbuti     68.414934       0.556453     122.948  422820
 result:                Atayal               Lubrak                Mbuti     69.356879       0.638125     108.688  278995
 result:                Atayal             Samdzong                Mbuti     69.107797       0.537041     128.683  433717
 result:                Atayal               Mebrak                Mbuti     69.231872       0.554429     124.871  433347
 result:                Atayal                Kyang                Mbuti     69.099634       0.545379     126.700  433071
 result:                Atayal                Suila                Mbuti     68.831830       0.679658     101.274  276020
 result:             Cambodian           Chokhopani                Mbuti     67.295533       0.522352     128.832  435415
 result:             Cambodian               Rhirhi                Mbuti     66.480267       0.528463     125.799  429531
 result:             Cambodian               Lubrak                Mbuti     66.696686       0.588472     113.339  284364
 result:             Cambodian             Samdzong                Mbuti     66.937459       0.509065     131.491  439258
 result:             Cambodian               Mebrak                Mbuti     66.872743       0.526201     127.086  439094
 result:             Cambodian                Kyang                Mbuti     67.090707       0.514070     130.509  438603
 result:             Cambodian                Suila                Mbuti     66.675245       0.614553     108.494  281457
 result:                   Dai           Chokhopani                Mbuti     69.581646       0.532249     130.731  434655
 result:                   Dai               Rhirhi                Mbuti     68.682292       0.528055     130.067  428889
 result:                   Dai               Lubrak                Mbuti     69.411904       0.595404     116.579  283836
 result:                   Dai             Samdzong                Mbuti     69.251034       0.510298     135.707  438253
 result:                   Dai               Mebrak                Mbuti     69.292167       0.534729     129.584  438152
 result:                   Dai                Kyang                Mbuti     69.199489       0.522466     132.448  437742
 result:                   Dai                Suila                Mbuti     68.662154       0.623163     110.183  280944
 result:                  Daur           Chokhopani                Mbuti     69.820073       0.532022     131.235  435400
 result:                  Daur               Rhirhi                Mbuti     69.406439       0.533928     129.992  429473
 result:                  Daur               Lubrak                Mbuti     70.120971       0.592776     118.293  284435
 result:                  Daur             Samdzong                Mbuti     69.794673       0.517061     134.984  438873
 result:                  Daur               Mebrak                Mbuti     69.826536       0.531886     131.281  438704
 result:                  Daur                Kyang                Mbuti     69.827340       0.525645     132.841  438378
 result:                  Daur                Suila                Mbuti     69.400714       0.620522     111.843  281487
 result:                   Han           Chokhopani                Mbuti     70.647638       0.526526     134.177  443335
 result:                   Han               Rhirhi                Mbuti     69.936360       0.528618     132.300  436781
 result:                   Han               Lubrak                Mbuti     70.641584       0.588954     119.944  290049
 result:                   Han             Samdzong                Mbuti     70.430305       0.511187     137.778  445036
 result:                   Han               Mebrak                Mbuti     70.414954       0.531228     132.551  445181
 result:                   Han                Kyang                Mbuti     70.372417       0.517785     135.911  444749
 result:                   Han                Suila                Mbuti     69.767174       0.614602     113.516  287211
 result:            Han_NChina           Chokhopani                Mbuti     70.703791       0.534805     132.205  435978
 result:            Han_NChina               Rhirhi                Mbuti     70.005299       0.531831     131.631  429921
 result:            Han_NChina               Lubrak                Mbuti     70.473221       0.596474     118.150  284840
 result:            Han_NChina             Samdzong                Mbuti     70.342155       0.512934     137.137  439117
 result:            Han_NChina               Mebrak                Mbuti     70.465348       0.538558     130.841  439038
 result:            Han_NChina                Kyang                Mbuti     70.447584       0.522017     134.953  438617
 result:            Han_NChina                Suila                Mbuti     69.918517       0.611417     114.355  281943
 result:                Hezhen           Chokhopani                Mbuti     70.130151       0.536950     130.608  433290
 result:                Hezhen               Rhirhi                Mbuti     69.470496       0.540639     128.497  427524
 result:                Hezhen               Lubrak                Mbuti     70.194676       0.588198     119.338  282950
